id,spi_table,spi_column,is_sensitive
1,admin_member,f_name,1
2,admin_member,l_name,1
3,admin_member,h_name,1
4,admin_member,title,1
5,admin_member,company,1
6,admin_member,address1,1
7,admin_member,address2,1
8,admin_member,city,1
9,admin_member,province_state,1
10,admin_member,country,1
11,admin_member,postal_code,1
12,admin_member,tel_countrycode,1
13,admin_member,tel_areacode,1
14,admin_member,tel_number,1
15,admin_member,fax_areacode,1
16,admin_member,fax_number,1
17,admin_member,bus_areacode,1
18,admin_member,bus_number,1
19,admin_member,bus_extension,1
20,admin_member,email,1
21,admin_member,notes,1
22,admin_member,sin,1
23,admin_members,f_name,1
24,admin_members,l_name,1
25,admin_members,h_name,1
26,admin_members,title,1
27,admin_members,company,1
28,admin_members,address1,1
29,admin_members,address2,1
30,admin_members,city,1
31,admin_members,province_state,1
32,admin_members,country,1
33,admin_members,postal_code,1
34,admin_members,tel_countrycode,1
35,admin_members,tel_areacode,1
36,admin_members,tel_number,1
37,admin_members,fax_areacode,1
38,admin_members,fax_number,1
39,admin_members,bus_areacode,1
40,admin_members,bus_number,1
41,admin_members,bus_extension,1
42,admin_members,email,1
43,admin_members,notes,1
44,admin_members,sin,1
45,members,f_name,1
46,members,l_name,1
47,members,h_name,1
48,members,title,1
49,members,company,1
50,members,address1,1
51,members,address2,1
52,members,city,1
53,members,province_state,1
54,members,country,1
55,members,postal_code,1
56,members,tel_countrycode,1
57,members,tel_areacode,1
58,members,tel_number,1
59,members,fax_areacode,1
60,members,fax_number,1
61,members,bus_areacode,1
62,members,bus_number,1
63,members,bus_extension,1
64,members,email,1
65,members,notes,1
66,orders,details,1
67,orders,shipping_address,1
68,orders,business_address,1
69,orders,ship_name,1
70,orders,ship_fname,1
71,orders,ship_lname,1
72,orders,ship_email,1
73,orders,ship_company,1
74,orders,ship_address1,1
75,orders,ship_address2,1
76,orders,ship_city,1
77,orders,ship_province,1
78,orders,ship_postalcode,1
79,orders,ship_country,1
80,orders,ship_tel_countrycode,1
81,orders,ship_tel_areacode,1
82,orders,ship_tel_number,1
83,orders,special_instructions,1
84,orders,courier_tracking_num,1
85,P2M_trans,memo,1
86,P2M_trans,tag,1
87,P2M_trans,awarded_by,1
88,admin_member,ref_number,1
89,admin_members,ref_number,1
90,cg_mailer_queue,parameters,1
91,members,ref_number,1
92,members,sin,1
93,members_notes,note,1
94,orders_extra_info,user_ip,1
95,p2m_analytics_event_log,parameters,1
96,p2m_metadata_activity_data,value,1
97,p2m_metadata_claim,value,1
98,p2m_metadata_member,value,1
99,p2m_metadata_metric,value,1
100,p2m_metadata_metric_submission,value,1
101,p2m_metadata_orgnode,value,1
102,p2m_redeem_credit_trans,memo,1
103,p2m_redeem_credit_trans,cancel_memo,1
104,purchase_orders,shipping_address,1
105,purchase_orders,special_instructions,1
106,purchase_orders,created_by,1
107,purchase_orders,memo,1
108,sf_asset,filename,1
109,sf_asset,description,1
110,orders,product_option,1
111,orders,courier_id,1
112,orders,notes,1
113,members,tax_id,1
114,admin_members,tax_id,1
115,admin_member,tax_id,1
116,p2m_new_members,f_name,1
117,p2m_new_members,l_name,1
118,p2m_new_members,title,1
119,p2m_new_members,email,1
120,p2m_new_members,address1,1
121,p2m_new_members,address2,1
122,p2m_new_members,city,1
123,p2m_new_members,country,1
124,p2m_new_members,province_state,1
125,p2m_new_members,postal_code,1
126,p2m_new_members,tel_countrycode,1
127,p2m_new_members,tel_areacode,1
128,p2m_new_members,tel_number,1
129,p2m_new_members,memo,1
130,p2m_new_members,ref_number,1
131,p2m_new_members,tax_id,1
132,members,date_of_birth,1
133,p2m_new_members,date_of_birth,1
134,admin_member,date_of_birth,1
135,admin_members,date_of_birth,1
136,members,username,1
137,p2m_new_members,username,1
138,p2m_award_transaction,recipient_message,1
139,p2m_award_transaction,achievement_description,1
140,p2m_peer_award_transaction_thread,message,1
141,p2m_peer_award_transaction_comment,comment,1
