"id","spi_table","spi_alias","spi_query","spi_user_query","flag","log","log_selection_query","log_update_query"
"1","admin_member","a","UPDATE admin_member a
JOIN p2m_subprogram s on s.id=a.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?","AND a.pin = ?","0","0",,
"2","admin_members","a","UPDATE admin_members a
JOIN p2m_subprogram s on s.id=a.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?","AND a.pin = ?","0","0",,
"3","members","m","UPDATE members m
JOIN p2m_subprogram s on s.id=m.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?","AND m.pin = ?","1","0",,
"4","orders","o","UPDATE orders o
JOIN P2M_trans t on t.order_id=o.order_id
JOIN p2m_subprogram s ON s.id=t.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ? AND o.current_status IN ('shipped','cancelled')","AND o.pin = ?","1","1","SELECT pin, 'orders' as spi_table, order_id FROM orders WHERE pin = ?","UPDATE %LOG% l JOIN %SPI_TABLE% t ON l.item_id = t.order_id
SET l.processed_at = current_timestamp() WHERE t.pin = ? AND t.shipping_address LIKE '00%'"
"5","P2M_trans","t","UPDATE P2M_trans t
JOIN p2m_subprogram s ON s.id=t.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?","AND t.pin = ?","0","0",,
"6","cg_mailer_queue","c","UPDATE cg_mailer_queue c
JOIN p2m_subprogram s ON s.id=c.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?","AND c.parameters LIKE ?","0","0",,
"7","members_notes","m","UPDATE members_notes m
JOIN members mm ON m.pin=mm.pin
JOIN p2m_subprogram s ON s.id=mm.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?","AND m.pin = ?","0","0",,
"8","orders_extra_info","o","UPDATE orders_extra_info o
JOIN P2M_trans t ON t.order_id = o.order_id
JOIN p2m_subprogram s ON s.id=t.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?","AND t.pin = ?","0","0",,
"9","p2m_analytics_event_log","a","UPDATE p2m_analytics_event_log a
JOIN p2m_subprogram s on s.id=a.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?","AND a.pin = ?","0","0",,
"10","p2m_metadata_activity_data","m","UPDATE p2m_metadata_activity_data m
JOIN p2m_metadata mm ON mm.id=m.metadata_id
JOIN p2m_subprogram s ON s.id=mm.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?",,"0","0",,
"11","p2m_metadata_claim","m","UPDATE p2m_metadata_claim m
JOIN p2m_metadata mm ON mm.id=m.metadata_id
JOIN p2m_subprogram s ON s.id=mm.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?",,"0","0",,
"12","p2m_metadata_member","m","UPDATE p2m_metadata_member m
JOIN p2m_metadata mm ON mm.id=m.metadata_id
JOIN p2m_subprogram s ON s.id=mm.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?","AND m.pin = ?","0","0",,
"13","p2m_metadata_metric","m","UPDATE p2m_metadata_metric m
JOIN p2m_metadata mm ON mm.id=m.metadata_id
JOIN p2m_subprogram s ON s.id=mm.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?",,"0","0",,
"14","p2m_metadata_metric_submission","m","UPDATE p2m_metadata_metric_submission m
JOIN p2m_metadata mm ON mm.id=m.metadata_id
JOIN p2m_subprogram s ON s.id=mm.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?",,"0","0",,
"15","p2m_metadata_orgnode","m","UPDATE p2m_metadata_orgnode m
JOIN p2m_metadata mm ON mm.id=m.metadata_id
JOIN p2m_subprogram s ON s.id=mm.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?",,"0","0",,
"16","p2m_redeem_credit_trans","r","UPDATE p2m_redeem_credit_trans r
JOIN p2m_subprogram s ON s.id=r.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?","AND r.pin = ?","0","0",,
"17","purchase_orders","p","UPDATE purchase_orders p
JOIN orders o ON o.order_id = p.order_id AND o.current_status IN ('shipped','cancelled')
JOIN P2M_trans t ON t.order_id = p.order_id
JOIN p2m_subprogram s ON s.id=t.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?","AND t.pin = ?","1","1","SELECT o.pin, 'purchase_orders' as spi_table, p.po_id FROM purchase_orders p JOIN orders o on o.order_id=p.order_id WHERE o.pin = ?","UPDATE %LOG% l JOIN %SPI_TABLE% t ON l.item_id = t.po_id SET l.processed_at = current_timestamp() WHERE t.shipping_address LIKE '00%'"
"18","sf_asset","s","UPDATE sf_asset s
JOIN sf_asset_folder f ON f.id=s.folder_id
JOIN p2m_subprogram ps ON ps.id=f.subprogram_id
%ANONYMIZE%
WHERE ps.id = ? AND ps.reseller_id = ?",,"0","0",,
"32","p2m_new_members","n","UPDATE p2m_new_members n
JOIN p2m_subprogram s on s.id=n.subprogram_id
%ANONYMIZE%
WHERE s.id = ? AND s.reseller_id = ?",,"1","0",,
